,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
76,Strasbourg,0.7026290893554688,0.7320331931114197,0.03027794323861599,2.978675365447998,0.024033116176724434,0.5091555,0.9816206368816388,46731.125,0.5091555,0.9816206360507574
77,Madrid,0.7054008841514587,0.8390939235687256,0.026748068630695343,2.9782938957214355,0.01629246212542057,0.5928721,0.9762635145475135,31679.83203125,0.592872,0.9762635127788196
78,Zurich,0.7172213792800903,0.79170823097229,0.024961259216070175,2.973682403564453,0.008028369396924973,0.29462886,0.99467271001989,15610.740234375,0.29462886,0.994672710050924
79,Hamburg,0.72115159034729,0.5599817037582397,0.022392738610506058,2.9794771671295166,0.03881442919373512,0.6755888,0.9847186166818941,75472.6015625,0.67558885,0.9847186178603973
80,Santander,0.7382732033729553,0.8043871521949768,0.027899621054530144,2.9771180152893066,0.011414437554776669,0.35106143,0.9836594227769898,22194.76953125,0.3510614,0.9836594231832686
81,Madrid,0.7778326869010925,0.8259191513061523,0.02798125147819519,2.9676425457000732,0.021205300465226173,0.67637855,0.9541104449579015,41232.5859375,0.67637855,0.9541104466124658
82,Santander,0.7754178047180176,0.8338807225227356,0.03104584850370884,2.978245735168457,0.004475709050893784,0.2198299,0.9889008367885713,8702.779296875,0.21982989,0.9889008368976242
83,Toulouse,0.7790369987487793,0.8270664811134338,0.024507857859134674,2.9751901626586914,0.019778583198785782,0.5543345,0.976507380204992,38458.41015625,0.5543345,0.9765073781405211
84,Marseille,0.7266371250152588,0.785544216632843,0.02843865007162094,2.9762020111083984,0.012817662209272385,0.40357745,0.9757602447136583,24923.26953125,0.40357745,0.9757602454714001
85,Darmstadt,0.7952827215194702,0.7772947549819946,0.025533540174365044,2.977219581604004,0.00712096132338047,0.292821,0.9786485292264406,13846.3330078125,0.292821,0.9786485294342401
86,Taipeh,0.7898361086845398,0.8644965887069702,0.03475981950759888,2.971116542816162,0.00525552686303854,0.23317327,0.9924898566597432,10219.09375,0.23317325,0.9924898566478997
87,Madrid,0.6847229599952698,0.8298549056053162,0.029339291155338287,2.9809834957122803,0.022270316258072853,0.69315577,0.9647191129532133,43303.453125,0.6931557,0.9647191118812815
88,Strasbourg,0.6533247232437134,0.5654557347297668,0.025863297283649445,2.9790027141571045,0.04941200092434883,0.73006517,0.9649111984237304,96079.015625,0.73006517,0.9649111962524572
89,Darmstadt,0.7993718981742859,0.8273589611053467,0.03299794718623161,2.9764981269836426,0.0041617779061198235,0.22385786,0.9796589361388354,8092.357421875,0.22385785,0.9796589366452915
90,Marseille,0.6999121904373169,0.6681316494941711,0.023125996813178062,2.973902463912964,0.044522058218717575,0.75215966,0.9670312933361176,86570.78125,0.7521597,0.9670312926747866
91,Toulouse,0.7122693657875061,0.8342462778091431,0.028484633192420006,2.974759817123413,0.013917781412601471,0.46500683,0.9777036494287153,27062.388671875,0.46500683,0.9777036470813566
92,Bremen,0.7670128345489502,0.8338900804519653,0.026428112760186195,2.9790077209472656,0.0029757327865809202,0.1751837,0.9909220671917529,5786.15478515625,0.17518368,0.990922067493976
93,Darmstadt,0.7256592512130737,0.8215810060501099,0.031506169587373734,2.97953200340271,0.0034908715169876814,0.2050217,0.9816984368409375,6787.814453125,0.2050217,0.981698437232414
94,Zurich,0.7120165824890137,0.8227473497390747,0.025956865400075912,2.9813930988311768,0.010149280540645123,0.3312678,0.9936292842135855,19734.73828125,0.3312678,0.9936292841293753
95,Santander,0.7238834500312805,0.8204222917556763,0.02985980361700058,2.975872755050659,0.009531158953905106,0.32079583,0.98816946053066,18532.8359375,0.32079583,0.9881694602831445
96,Losangeles,0.6872456669807434,0.8526089191436768,0.02790316380560398,2.98188853263855,0.022073419764637947,0.67488414,0.9093261813840692,42920.59765625,0.67488414,0.9093261784507751
